id,id_clustering,name,description,n_documents,reduced_to_id_cluster,reduced_to_id_clustering
56,1,,"závěj, sníh, sněhový, zimní, zasněžený, jíní, zmrzlý, mráz, zima, vločka",420,198,2
57,1,,"slavský, slávie, slovan, čech, sála, slovanský, europa, čechová, němec, balt",418,193,2
58,1,,"poupátko, růžička, květinka, srdéčko, kvítko, kvítek, růže, kvíteček, růž, hlavinka",414,169,2
59,1,,"ženstvo, podniknutí, pozůstávat, kasal, potýkání, zbor, dychtit, faust, bojovnice, vězet",411,182,2
60,1,,"subtilní, nostalgie, sněný, měsíčky, něha, blouznivý, věčno, vonící, bytí, důvěrný",408,184,2
61,1,,"vdát, mužský, ženská, ženich, vdávat, oženit, ženit, hezký, holka, ženský",404,177,2
62,1,,"huba, osel, nadávat, hloupost, dělat, chytrý, nadávka, tropit, prohloupit, díra",393,177,2
63,1,,"krovka, cvrček, tráva, vonět, motýl, moucha, brouk, vyhřátý, pampeliška, olše",386,178,2
64,1,,"škeble, korály, chaluha, vodní, korál, lastura, perleť, medúza, leknín, mořský",380,185,2
65,1,,"sonet, znělka, rým, rýma, petrarka, verš, báseň, sloka, laura, korzet",378,185,2
66,1,,"christus, bláha, páně, nebešťan, jakův, an, nebeský, slávie, seraf, svatyně",372,187,2
67,1,,"růžička, kytička, srdéčko, kytka, kvíteček, poupátko, kvítek, utrhnout, kvítko, děvčátko",369,169,2
68,1,,"perlík, kovadlina, kovář, kovárna, kladivo, železo, výheň, bušit, buš, kovat",365,188,2
69,1,,"čechie, vlast, otčina, čech, plémě, vlastenský, šlechetný, zvelebit, čechová, oslava",361,193,2
70,1,,"tragika, bídáctví, dívávat, bojácný, žurnalista, uplatnit, morálka, katastrofa, gesto, tragický",359,175,2
71,1,,"polka, klarinet, basa, smyčec, muzikant, muzika, housle, zahrát, nota, skočná",354,171,2
72,1,,"šachta, havíř, horník, kovkop, továrna, uhelný, štola, huť, kopat, dělnický",354,188,2
73,1,,"zdrávas, maria, orodovat, marja, panna, rodička, marie, klečet, marius, cherubín",352,187,2
74,1,,"sfinga, nil, ibis, samum, pyramida, karavana, poušť, oáza, velbloud, obelisk",348,186,2
75,1,,"vlaštovička, vlaštovka, ptáček, šveholit, ptáče, hnízdo, hnízdečko, odletět, pískle, zlatoušek",340,174,2
76,1,,"kolovrátek, nit, příst, přádlo, kužel, len, příze, vrčet, cívka, vřeteno",338,169,2
77,1,,"adjutant, ney, štáb, armáda, tornistra, bajonet, voják, bonaparte, napoleon, reduta",332,190,2
78,1,,"papež, heinrich, římský, gregor, řím, legato, církev, biskup, robert, friedrich",329,190,2
79,1,,"dosoudit, jež, edvard, slast, vyšínský, vzpor, marina, slastný, novum, cítěný",329,173,2
80,1,,"dopít, pohár, číše, pít, číš, doušek, víno, napít, pití, nalít",326,171,2
81,1,,"janeček, kačenka, hezký, panenka, srdéčko, děvčátko, husička, povídat, hubička, děvče",325,171,2
82,1,,"cid, maur, valencie, rodrigo, jimena, maurský, zamora, alfons, alfonso, sancho",320,190,2
83,1,,"pytlák, brok, mysliveček, hajný, sluka, myslivec, zajíček, srna, srnec, střelit",315,171,2
